Author	n (strains)	publication title	journal	publication URL	strains
Bert Vanmechelen et al	1	A phylodynamic workflow to rapidly gain insights into the dispersal history and dynamics of SARS-CoV-2 lineages	unknown	https://dx.doi.org/10.1101/2020.05.05.078758	hCoV-19/Belgium/GHB-03021/2020
Maria Dolores Ocete et al	1	Phylodynamics of SARS-CoV-2 transmission in Spain	unknown	https://dx.doi.org/10.1101/2020.04.20.050039	hCoV-19/Spain/VC-FISABIO-5/2020
Loureiro CL et al	2	unknown	unknown	unknown	hCoV-19/Venezuela/1Z/2020,hCoV-19/Venezuela/11MZ/2020
Cooley L. et al	5	unknown	unknown	unknown	hCoV-19/Australia/TAS166/2020,hCoV-19/Australia/TAS232/2020,hCoV-19/Australia/TAS262/2020,hCoV-19/Australia/TAS00279/2020,hCoV-19/Australia/TAS278/2020
Chisha Sikazwe et al	2	unknown	unknown	unknown	hCoV-19/Australia/WA39/2020,hCoV-19/Australia/WA11/2020
Rawlinson et al	2	unknown	unknown	unknown	hCoV-19/Australia/NSW2247/2020,hCoV-19/Australia/NSW3878/2021
Yamilka Diaz et al	4	unknown	unknown	unknown	hCoV-19/Panama/GMI-PA342605/2020,hCoV-19/Panama/GMI-PA369167/2020,hCoV-19/Panama/GMI-PA437002/2020,hCoV-19/Panama/GMI-PA463358/2020
Carlos Cortes et al	4	unknown	unknown	unknown	hCoV-19/EquatorialGuinea/253/2020,hCoV-19/EquatorialGuinea/33881/2020,hCoV-19/EquatorialGuinea/11257/2020,hCoV-19/EquatorialGuinea/49849/2020
Alexandr Shevtsov et al	1	unknown	unknown	unknown	hCoV-19/Kazakhstan/18243/2020
Nguyen Van Vinh Chau et al	3	unknown	unknown	unknown	hCoV-19/Vietnam/HCMC-35016/2020,hCoV-19/Vietnam/HCMC-05109069-05/2021,hCoV-19/Vietnam/HCMC-05040-01/2021
Pérez-Corrales C et al	3	unknown	unknown	unknown	hCoV-19/CostaRica/HNN-0454/2021,hCoV-19/CostaRica/HNN-0465/2021,hCoV-19/CostaRica/HNN-0461/2021
Son Nguyen et al	44	unknown	unknown	unknown	hCoV-19/Australia/QLD1532/2021,hCoV-19/Australia/QLD990/2020,hCoV-19/Australia/QLD1806/2021,hCoV-19/Australia/QLD1856/2021,hCoV-19/Australia/QLD1621/2021,hCoV-19/PapuaNewGuinea/QLD-PNG-35/2021,hCoV-19/Australia/QLD1899/2021,hCoV-19/Australia/QLD1850/2021,hCoV-19/Australia/QLD1848/2021,hCoV-19/Australia/QLD1849/2021,hCoV-19/Australia/QLD1845/2021,hCoV-19/Australia/QLD1336/2020,hCoV-19/Australia/QLD1851/2021,hCoV-19/Australia/QLD1889/2021,hCoV-19/Australia/QLD1881/2021,hCoV-19/Australia/QLD1085/2020,hCoV-19/Australia/QLD1920/2021,hCoV-19/Australia/QLD1343/2020,hCoV-19/Australia/QLD964/2020,hCoV-19/Australia/QLD1456/2020,hCoV-19/Australia/QLD1832/2021,hCoV-19/Australia/QLD1896/2021,hCoV-19/Australia/QLD1907/2021,hCoV-19/Australia/QLD1933/2021,hCoV-19/Australia/QLD1925/2021,hCoV-19/Australia/QLD1926/2021,hCoV-19/Australia/QLD2012/2021,hCoV-19/Australia/QLD2023/2021,hCoV-19/Australia/QLD1876/2021,hCoV-19/Australia/QLD1902/2021,hCoV-19/Australia/QLD1231/2020,hCoV-19/Australia/QLD1339/2020,hCoV-19/Australia/QLD1029/2020,hCoV-19/Australia/QLD1119/2020,hCoV-19/Australia/QLD2004/2021,hCoV-19/Australia/QLD1852/2021,hCoV-19/Australia/QLD2026/2021,hCoV-19/Australia/QLD1844/2021,hCoV-19/Australia/QLD1875/2021,hCoV-19/Australia/QLD1937/2021,hCoV-19/Australia/QLD1949/2021,hCoV-19/Australia/QLD1953/2021,hCoV-19/Australia/QLD1962/2021,hCoV-19/Australia/QLD1998/2021
Rossana C Jaspe et al	17	unknown	unknown	unknown	hCoV-19/Venezuela/LaG1401/2021,hCoV-19/Venezuela/Ta2423/2021,hCoV-19/Venezuela/Ta2392/2021,hCoV-19/Venezuela/Z6693/2021,hCoV-19/Venezuela/Z9091/2021,hCoV-19/Venezuela/Me890/2021,hCoV-19/Venezuela/Dtt24/2021,hCoV-19/Venezuela/Mir17/2021,hCoV-19/Venezuela/Ama1935/2021,hCoV-19/Venezuela/Car8286/2021,hCoV-19/Venezuela/Ara6800/2021,hCoV-19/Venezuela/Dtt292/2021,hCoV-19/Venezuela/Dtt17/2021,hCoV-19/Venezuela/Mir6242/2021,hCoV-19/Venezuela/DeA1365/2021,hCoV-19/Venezuela/Yar9463/2021,hCoV-19/Venezuela/Ap5665/2021
Francisco Duarte et al	38	unknown	unknown	unknown	hCoV-19/CostaRica/INC-0811/2021,hCoV-19/CostaRica/INC-0665/2021,hCoV-19/CostaRica/INC-0476/2021,hCoV-19/CostaRica/INC-0778/2021,hCoV-19/CostaRica/INC-0571/2021,hCoV-19/CostaRica/INC-0766/2021,hCoV-19/CostaRica/INC-0062/2020,hCoV-19/CostaRica/INC-0068/2020,hCoV-19/CostaRica/INC-0135/2020,hCoV-19/CostaRica/INC-0725/2021,hCoV-19/CostaRica/INC-0631/2021,hCoV-19/CostaRica/INC-0816/2021,hCoV-19/CostaRica/INC-0815/2021,hCoV-19/CostaRica/INC-0774/2021,hCoV-19/CostaRica/INC-0759/2021,hCoV-19/CostaRica/INC-0857/2021,hCoV-19/CostaRica/INC-0747/2021,hCoV-19/CostaRica/INC-0753/2021,hCoV-19/CostaRica/INC-0876/2021,hCoV-19/CostaRica/INC-0882/2021,hCoV-19/CostaRica/INC-0869/2021,hCoV-19/CostaRica/INC-0108/2020,hCoV-19/CostaRica/INC-0186/2020,hCoV-19/CostaRica/INC-0649/2021,hCoV-19/CostaRica/INC-0572/2021,hCoV-19/CostaRica/INC-0664/2021,hCoV-19/CostaRica/INC-0620/2021,hCoV-19/CostaRica/INC-0781/2021,hCoV-19/CostaRica/INC-0542/2021,hCoV-19/CostaRica/INC-0623/2021,hCoV-19/CostaRica/INC-0605/2021,hCoV-19/CostaRica/INC-0654/2021,hCoV-19/CostaRica/INC-0599/2021,hCoV-19/CostaRica/INC-0635/2021,hCoV-19/CostaRica/INC-0648/2021,hCoV-19/CostaRica/INC-0609/2021,hCoV-19/CostaRica/INC-0564/2021,hCoV-19/CostaRica/INC-0643/2021
Dakota Howard et al	110	unknown	unknown	unknown	hCoV-19/USA/RI-CDC-LC0040165/2021,hCoV-19/USA/IN-CDC-ASC210000365/2021,hCoV-19/USA/IA-CDC-ASC210033488/2021,hCoV-19/USA/ID-CDC-MMB09280903/2021,hCoV-19/USA/CO-CDC-MMB09358484/2021,hCoV-19/USA/RI-CDC-LC0048078/2021,hCoV-19/USA/PA-CDC-ASC210108573/2021,hCoV-19/USA/NH-CDC-QDX23997561/2021,hCoV-19/USA/NC-CDC-STM-000074285/2021,hCoV-19/USA/VT-CDC-ASC210042114/2021,hCoV-19/USA/LA-CDC-QDX24476525/2021,hCoV-19/USA/OH-CDC-LC0045317/2021,hCoV-19/USA/NV-CDC-QDX26215176/2021,hCoV-19/USA/CA-CDC-FG-046061/2021,hCoV-19/USA/CA-CDC-FG-058077/2021,hCoV-19/USA/MN-CDC-IBX636079991688/2021,hCoV-19/USA/DC-CDC-FG-062559/2021,hCoV-19/USA/TX-CDC-QDX26380456/2021,hCoV-19/USA/KY-CDC-ASC210113315/2021,hCoV-19/USA/OK-CDC-LC0109631/2021,hCoV-19/USA/TX-CDC-QDX27127501/2021,hCoV-19/USA/OH-CDC-FG-058399/2021,hCoV-19/USA/NC-CDC-ASC210154538/2021,hCoV-19/USA/NC-CDC-QDX26763440/2021,hCoV-19/USA/KS-CDC-QDX26380499/2021,hCoV-19/USA/TN-CDC-FG-061804/2021,hCoV-19/USA/WI-CDC-LC0084586/2021,hCoV-19/USA/WI-CDC-FG-058509/2021,hCoV-19/USA/AR-CDC-LC0082338/2021,hCoV-19/USA/TN-CDC-ASC210115025/2021,hCoV-19/USA/AR-CDC-LC0109707/2021,hCoV-19/USA/OH-CDC-QDX27212250/2021,hCoV-19/USA/NV-CDC-LC0096766/2021,hCoV-19/USA/NM-CDC-FG-062291/2021,hCoV-19/USA/LA-CDC-LC0081809/2021,hCoV-19/USA/OK-CDC-FG-059258/2021,hCoV-19/USA/CO-CDC-FG-058472/2021,hCoV-19/USA/WY-CDC-IBX999838913021/2021,hCoV-19/USA/GA-CDC-IBX480190834721/2021,hCoV-19/USA/WV-CDC-IBX068878310268/2021,hCoV-19/USA/FL-CDC-LC0098249/2021,hCoV-19/USA/SC-CDC-MMB09249471/2021,hCoV-19/USA/PA-CDC-FG-062264/2021,hCoV-19/USA/OR-CDC-QDX26765179/2021,hCoV-19/USA/MI-CDC-FG-058713/2021,hCoV-19/USA/AL-CDC-FG-046720/2021,hCoV-19/USA/PA-CDC-QDX26947481/2021,hCoV-19/USA/MI-CDC-LC0091974/2021,hCoV-19/USA/LA-CDC-ASC210065497/2021,hCoV-19/USA/NJ-CDC-ASC210035099/2021,hCoV-19/USA/MI-CDC-STM-000051391/2021,hCoV-19/USA/KS-CDC-QDX24155042/2021,hCoV-19/USA/MA-CDC-LC0050243/2021,hCoV-19/USA/OR-CDC-LC0056210/2021,hCoV-19/USA/OR-CDC-LC0085147/2021,hCoV-19/USA/IL-CDC-ASC210032027/2021,hCoV-19/USA/NJ-CDC-FG-037298/2021,hCoV-19/USA/CT-CDC-QDX26076019/2021,hCoV-19/USA/IN-CDC-ASC210032425/2021,hCoV-19/USA/IL-CDC-STM-000074025/2021,hCoV-19/USA/ID-CDC-IBX013241880459/2021,hCoV-19/USA/NC-CDC-ASC210034994/2021,hCoV-19/USA/CA-CDC-LC0052592/2021,hCoV-19/USA/CO-CDC-FG-030398/2021,hCoV-19/USA/NJ-CDC-LC0038761/2021,hCoV-19/USA/NH-CDC-LC0082496/2021,hCoV-19/USA/FL-CDC-QDX25952774/2021,hCoV-19/USA/TN-CDC-ASC210071154/2021,hCoV-19/USA/MO-CDC-LC0059623/2021,hCoV-19/USA/FL-CDC-STM-000072322/2021,hCoV-19/USA/OK-CDC-ASC210030386/2021,hCoV-19/USA/IA-CDC-ASC210018196/2021,hCoV-19/USA/NH-CDC-LC0041261/2021,hCoV-19/USA/NV-CDC-LC0067317/2021,hCoV-19/USA/NH-CDC-QDX25025371/2021,hCoV-19/USA/WV-CDC-ASC210107644/2021,hCoV-19/USA/ID-CDC-LC0067279/2021,hCoV-19/USA/TX-CDC-FG-033733/2021,hCoV-19/USA/NM-CDC-ASC210062548/2021,hCoV-19/USA/CO-CDC-MMB09082915/2021,hCoV-19/USA/OH-CDC-ASC210153830/2021,hCoV-19/USA/FL-CDC-FG-025630/2021,hCoV-19/USA/TN-CDC-ASC210106890/2021,hCoV-19/USA/MN-CDC-STM-000059728/2021,hCoV-19/USA/MS-CDC-ASC210030950/2021,hCoV-19/USA/ID-CDC-ASC210156996/2021,hCoV-19/USA/KY-CDC-LC0057643/2021,hCoV-19/USA/NV-CDC-LC0055654/2021,hCoV-19/USA/WV-CDC-ASC210029890/2021,hCoV-19/USA/VA-CDC-LC0047444/2021,hCoV-19/USA/OH-CDC-QDX24632603/2021,hCoV-19/USA/PR-CDC-STM-000068227/2021,hCoV-19/USA/WA-CDC-FG-037219/2021,hCoV-19/USA/GA-CDC-STM-000058795/2021,hCoV-19/USA/PR-CDC-ASC210047004/2021,hCoV-19/USA/RI-CDC-LC0068924/2021,hCoV-19/USA/NJ-CDC-LC0064210/2021,hCoV-19/USA/TX-CDC-ASC210010624/2021,hCoV-19/USA/CO-CDC-MMB08862764/2021,hCoV-19/USA/PR-CDC-ASC210029097/2021,hCoV-19/USA/MD-CDC-ASC210035696/2021,hCoV-19/USA/NY-CDC-ASC210107042/2021,hCoV-19/USA/TN-CDC-ASC210059513/2021,hCoV-19/USA/NM-CDC-LC0045103/2021,hCoV-19/USA/DE-CDC-LC0061541/2021,hCoV-19/USA/LA-CDC-ASC210054758/2021,hCoV-19/USA/MI-CDC-STM-000066008/2021,hCoV-19/USA/OK-CDC-LC0058833/2021,hCoV-19/USA/KY-CDC-LC0085495/2021,hCoV-19/USA/CT-CDC-QDX25207944/2021
César Roberto Conde Pereira et al	3	unknown	unknown	unknown	hCoV-19/Guatemala/839/2021,hCoV-19/Guatemala/2009/2021,hCoV-19/Guatemala/2267/2021
Monica Becerra-Wong et al	1	unknown	unknown	unknown	hCoV-19/Ecuador/USFQ-1316/2021
Alfredo Bruno et al	19	unknown	unknown	unknown	hCoV-19/Ecuador/NIC-INSPI-317748/2021,hCoV-19/Ecuador/NIC-INSPI-327023/2021,hCoV-19/Ecuador/NIC-INSPI-338924/2021,hCoV-19/Ecuador/NIC-INSPI-327290/2021,hCoV-19/Ecuador/NIC-INSPI-329633/2021,hCoV-19/Ecuador/NIC-INSPI-317360/2021,hCoV-19/Ecuador/NIC-INSPI-0421-2879/2021,hCoV-19/Ecuador/NIC-INSPI-330393/2021,hCoV-19/Ecuador/NIC-INSPI-341749/2021,hCoV-19/Ecuador/NIC-INSPI-339728/2021,hCoV-19/Ecuador/NIC-INSPI-317797/2021,hCoV-19/Ecuador/NIC-INSPI-335816/2021,hCoV-19/Ecuador/NIC-INSPI-0421-2857/2021,hCoV-19/Ecuador/NIC-INSPI-50174/2021,hCoV-19/Ecuador/NIC-INSPI-341596/2021,hCoV-19/Ecuador/NIC-INSPI-262273/2021,hCoV-19/Ecuador/NIC-INSPI-334726/2021,hCoV-19/Ecuador/NIC-INSPI-336489/2021,hCoV-19/Ecuador/NIC-INSPI-93539/2021
Claudia Wong-Arambula et al	58	unknown	unknown	unknown	hCoV-19/Mexico/VER-InDRE_FB16306_S3829/2021,hCoV-19/Mexico/SON-InDRE_FB16066_S2604/2021,hCoV-19/Mexico/TAB-InDRE-100/2020,hCoV-19/Mexico/CHH-InDRE_FB13818_S1821/2021,hCoV-19/Mexico/SON-InDRE_FB21614_S5157/2021,hCoV-19/Mexico/CAM-InDRE_FB14280_S1726/2021,hCoV-19/Mexico/CHP-InDRE_FB14859_S2597/2021,hCoV-19/Mexico/SON-InDRE_FB17817_S3461/2021,hCoV-19/Mexico/GRO-InDRE_384/2020,hCoV-19/Mexico/CHP-InDRE_264/2020,hCoV-19/Mexico/SON-InDRE_135/2020,hCoV-19/Mexico/SIN-InDRE_FB19771_S4923/2021,hCoV-19/Mexico/BCS-InDRE_FB20049_S4950/2021,hCoV-19/Mexico/AGU-InDRE_FB18587_S4462/2021,hCoV-19/Mexico/MIC-InDRE_FB19324_S4588/2021,hCoV-19/Mexico/PUE-InDRE_FB19610_S4628/2021,hCoV-19/Mexico/HID-InDRE_FB20319_S4837/2021,hCoV-19/Mexico/QUE-InDRE_FB19439_S4620/2021,hCoV-19/Mexico/MOR-InDRE_254/2020,hCoV-19/Mexico/MEX-InDRE_121/2020,hCoV-19/Mexico/CHP-InDRE_F10422_S811/2021,hCoV-19/Mexico/VER-InDRE_FB14024_S1987/2021,hCoV-19/Mexico/JAL-InDRE_FB13973_S1959/2021,hCoV-19/Mexico/GUA-InDRE_FB13872_S2217/2021,hCoV-19/Mexico/TLA-InDRE_FB13373_S1888/2021,hCoV-19/Mexico/GUA-InDRE_FB16215_S2681/2021,hCoV-19/Mexico/SIN-InDRE_FB15067_S2233/2021,hCoV-19/Mexico/MOR-InDRE_FB13161_S1569/2021,hCoV-19/Mexico/MOR-InDRE_F12323_S1308/2021,hCoV-19/Mexico/TAM-InDRE_FB14048_S2352/2021,hCoV-19/Mexico/BCS-InDRE_FB14099_S1990/2021,hCoV-19/Mexico/MIC-InDRE_FB16694_S3033/2021,hCoV-19/Mexico/QUE-InDRE_FB15763_S2628/2021,hCoV-19/Mexico/GRO-InDRE_FB17786_S4179/2021,hCoV-19/Mexico/MOR-InDRE_FB13801_S1937/2021,hCoV-19/Mexico/QUE-InDRE_FB13998_S2232/2021,hCoV-19/Mexico/MOR-InDRE_FB16530_S3243/2021,hCoV-19/Mexico/MIC-InDRE_FB15021_S2163/2021,hCoV-19/Mexico/CAM-InDRE_F11513_S957/2021,hCoV-19/Mexico/GRO-InDRE_FB14111_S1991/2021,hCoV-19/Mexico/VER-InDRE_362/2020,hCoV-19/Mexico/OAX-InDRE_399/2020,hCoV-19/Mexico/JAL-InDRE_F102G_S578/2021,hCoV-19/Mexico/MIC-InDRE_FB19326_S4770/2021,hCoV-19/Mexico/CHP-InDRE_FB14079_S2113/2021,hCoV-19/Mexico/CHP-InDRE_FB17616_S3996/2021,hCoV-19/Mexico/BCN-InDRE_FB14089_S2114/2021,hCoV-19/Mexico/GUA-InDRE_FB16906_S3207/2021,hCoV-19/Mexico/AGU-InDRE_FB19716_S5092/2021,hCoV-19/Mexico/ROO-InDRE_FB14105_S1786/2021,hCoV-19/Mexico/YUC-InDRE_FB16671_S2890/2021,hCoV-19/Mexico/GRO-InDRE_F48G_S568/2021,hCoV-19/Mexico/COA-InDRE_FB17411_S3519/2021,hCoV-19/Mexico/CHH-InDRE_FB14880_S2401/2021,hCoV-19/Mexico/DUR-InDRE_FB17386_S3481/2021,hCoV-19/Mexico/BCN-InDRE_FB19191_S4500/2021,hCoV-19/Mexico/TAM-InDRE_FB16011_S2411/2021,hCoV-19/Mexico/OAX-InDRE_FB17118_S3085/2021
Ruth C Vasquez C et al	1	unknown	unknown	unknown	hCoV-19/ElSalvador/Gorgas-84/2021
Anthony Fries et al	12	unknown	unknown	unknown	hCoV-19/Honduras/CM-USAFSAM-S4221/2021,hCoV-19/USA/NC-USAFSAM-S314/2020,hCoV-19/USA/MS-USAFSAM-S310/2020,hCoV-19/USA/OK-USAFSAM-S659/2020,hCoV-19/USA/AK-USAFSAM-S180/2020,hCoV-19/USA/OH-USAFSAM-S4156/2020,hCoV-19/UnitedArabEmirates/AZ-USAFSAM-S3096/2021,hCoV-19/Romania/USAFSAM-S564/2020,hCoV-19/UnitedArabEmirates/AZ-USAFSAM-S4149/2021,hCoV-19/UnitedArabEmirates/AZ-USAFSAM-S4144/2021,hCoV-19/USA/SC-USAFSAM-S4284/2021,hCoV-19/USA/MO-USAFSAM-S2047/2021
Kwabena O. Duedu et al	3	unknown	unknown	unknown	hCoV-19/Ghana/UHAS-G541/2020,hCoV-19/Ghana/UHAS-G441/2020,hCoV-19/Ghana/UHAS-H009/2020
Ben Huang et al	2	unknown	unknown	unknown	hCoV-19/Australia/QLD02/2020,hCoV-19/Australia/QLD04/2020
Samiha Al Kharusi et al	4	unknown	unknown	unknown	hCoV-19/Oman/52178/2021,hCoV-19/Oman/52110333/2021,hCoV-19/Oman/52110370/2021,hCoV-19/Oman/5211510/2021
Mohamed Seadawy et al	11	unknown	unknown	unknown	hCoV-19/Egypt/ARMY-310/2021,hCoV-19/Egypt/ARMY-319/2021,hCoV-19/Egypt/ARMY-228/2021,hCoV-19/Egypt/ARMY-215/2021,hCoV-19/Egypt/ARMY-207/2021,hCoV-19/Egypt/ARMY-217/2021,hCoV-19/Egypt/ARMY-330/2021,hCoV-19/Egypt/ARMY-331/2021,hCoV-19/Egypt/ARMY-329/2021,hCoV-19/Egypt/ARMY-333/2021,hCoV-19/Egypt/ARMY-213/2021
Alwasti et al	17	unknown	unknown	unknown	hCoV-19/Bahrain/341509978/2021,hCoV-19/Bahrain/340846298_S19_L001/2020,hCoV-19/Bahrain/340685804/2020,hCoV-19/Bahrain/340958054/2020,hCoV-19/Bahrain/840056882/2021,hCoV-19/Bahrain/970312498/2021,hCoV-19/Bahrain/342181075/2021,hCoV-19/Bahrain/921075725/2021,hCoV-19/Bahrain/342282658/2021,hCoV-19/Bahrain/921104348/2021,hCoV-19/Bahrain/342182452/2021,hCoV-19/Bahrain/342338426/2021,hCoV-19/Bahrain/920396988_S5_L001/2020,hCoV-19/Bahrain/920455640_S10_L001/2020,hCoV-19/Bahrain/NPS-2/2021,hCoV-19/Bahrain/341702536/2021,hCoV-19/Bahrain/NPS-12/2021
Ngoi et al	5	unknown	unknown	unknown	hCoV-19/Ghana/2573_S27/2020,hCoV-19/Ghana/84162_S45/2020,hCoV-19/Ghana/81216_S36/2020,hCoV-19/Ghana/WACCBIP-GS01/2020,hCoV-19/Ghana/84484_S16/2020
Oluniyi P.E. et al A	5	unknown	unknown	unknown	hCoV-19/Nigeria/BO-CV330/2020,hCoV-19/Nigeria/BO-CV331/2020,hCoV-19/Cameroon/CV417/2020,hCoV-19/Nigeria/OS-CV307/2020,hCoV-19/Nigeria/CV644/2021
Anna-Lena Sander et al	3	unknown	unknown	unknown	hCoV-19/Benin/249839/2021,hCoV-19/Benin/311979/2021,hCoV-19/Benin/251354/2021
Anke Wienecke-Baldacchino et al	21	unknown	unknown	unknown	hCoV-19/Luxembourg/LNS0021152/2021,hCoV-19/Luxembourg/LNS1109681/2020,hCoV-19/Luxembourg/LNS8545083/2020,hCoV-19/Luxembourg/LNS6871663/2021,hCoV-19/Luxembourg/LNS4287537/2021,hCoV-19/Luxembourg/LNS0008338/2021,hCoV-19/Luxembourg/LNS5146473/2021,hCoV-19/Luxembourg/LNS0379289/2021,hCoV-19/Luxembourg/LNS2931992/2021,hCoV-19/Luxembourg/LNS9121971/2021,hCoV-19/Luxembourg/LNS1580910/2021,hCoV-19/Luxembourg/LNS2000348/2021,hCoV-19/Luxembourg/LNS2580720/2020,hCoV-19/Luxembourg/LNS2489430/2020,hCoV-19/Luxembourg/LNS9330849/2021,hCoV-19/Luxembourg/LNS9548360/2021,hCoV-19/Luxembourg/LNS4353763/2021,hCoV-19/Luxembourg/LNS0965802/2021,hCoV-19/Luxembourg/LNS4555508/2021,hCoV-19/Luxembourg/LNS6784067/2021,hCoV-19/Luxembourg/LNS0297696/2021
Sameh Trabelsi et al	4	unknown	unknown	unknown	hCoV-19/Tunisia/14670/2021,hCoV-19/Tunisia/29100/2021,hCoV-19/Tunisia/36107/2021,hCoV-19/Tunisia/202129459/2021
Chantal Akoua-Koffi et al	3	unknown	unknown	unknown	hCoV-19/Coted-Ivoire/BKE0213/2020,hCoV-19/Coted-Ivoire/BKE0018/2020,hCoV-19/Coted-Ivoire/COV-BKE2334/bc7/2021
Arsène Zongo et al	1	unknown	unknown	unknown	hCoV-19/BurkinaFaso/LNRFHV_429/2020
Adamou Lagare et al	1	unknown	unknown	unknown	hCoV-19/Niger/ZR-188/2020
Joyce M. Ngoi et al	2	unknown	unknown	unknown	hCoV-19/Ghana/3177_S12/2020,hCoV-19/Ghana/1659_S14/2020
Rachel Boyle et al	41	unknown	unknown	unknown	hCoV-19/NewZealand/20VR3131/2020,hCoV-19/NewZealand/21MV0438/2021,hCoV-19/NewZealand/21MV0526/2021,hCoV-19/NewZealand/21MV0554/2021,hCoV-19/NewZealand/21MV0452/2021,hCoV-19/NewZealand/21MV0393/2021,hCoV-19/NewZealand/21MV0410/2021,hCoV-19/NewZealand/21MV0483/2021,hCoV-19/NewZealand/21MV0502/2021,hCoV-19/NewZealand/21MV0578/2021,hCoV-19/NewZealand/21MV0439/2021,hCoV-19/NewZealand/21MV0476/2021,hCoV-19/NewZealand/21MV0517/2021,hCoV-19/NewZealand/21MV0571/2021,hCoV-19/NewZealand/21CH0069/2021,hCoV-19/NewZealand/21CH0065/2021,hCoV-19/NewZealand/21CH0057/2021,hCoV-19/NewZealand/21MV0613/2021,hCoV-19/NewZealand/21MV0614/2021,hCoV-19/NewZealand/21MV0597/2021,hCoV-19/NewZealand/21MV0631/2021,hCoV-19/NewZealand/21MV0628/2021,hCoV-19/NewZealand/21MV0491/2021,hCoV-19/NewZealand/21MV0617/2021,hCoV-19/NewZealand/21MV0485/2021,hCoV-19/NewZealand/21MV0618/2021,hCoV-19/NewZealand/21MV0489/2021,hCoV-19/NewZealand/21MV0426/2021,hCoV-19/NewZealand/21MV0128/2021,hCoV-19/NewZealand/21MV0468/2021,hCoV-19/NewZealand/21CV0182/2021,hCoV-19/NewZealand/21MV0372/2021,hCoV-19/NewZealand/21MV0389/2021,hCoV-19/NewZealand/21MV0350/2021,hCoV-19/NewZealand/21MV0357/2021,hCoV-19/NewZealand/21MV0365/2021,hCoV-19/NewZealand/21MV0366/2021,hCoV-19/NewZealand/21MV0335/2021,hCoV-19/NewZealand/21MV0374/2021,hCoV-19/NewZealand/21MV0137/2021,hCoV-19/NewZealand/21MV0403/2021
Yacouba Sawadogo et al	2	unknown	unknown	unknown	hCoV-19/BurkinaFaso/60/2021,hCoV-19/BurkinaFaso/49/2021
Danish Covid-19 Genome Consortia et al	3	unknown	unknown	unknown	hCoV-19/Denmark/DCGC-1480/2020,hCoV-19/Denmark/DCGC-1205/2020,hCoV-19/Denmark/DCGC-6880/2020
CIDM-PH et al.	23	unknown	unknown	unknown	hCoV-19/Australia/NSW1518/2021,hCoV-19/Australia/NSW358/2020,hCoV-19/Australia/NSW1624/2021,hCoV-19/Australia/NSW1712/2021,hCoV-19/Australia/NSW-ICPMR-319/2021,hCoV-19/Australia/NSW-ICPMR-588/2021,hCoV-19/Australia/NSW-1799/2021,hCoV-19/Australia/NSW1663/2021,hCoV-19/Australia/NSW1754/2021,hCoV-19/Australia/NSW1747/2021,hCoV-19/Australia/NSW-1805/2021,hCoV-19/Australia/NSW1205/2020,hCoV-19/Australia/NSW621/2020,hCoV-19/Australia/NSW1037/2020,hCoV-19/Australia/NSW1263/2020,hCoV-19/Australia/NSW715/2020,hCoV-19/Australia/NSW852/2020,hCoV-19/Australia/NSW929/2020,hCoV-19/Australia/NSW1616/2021,hCoV-19/Australia/NSW1583/2021,hCoV-19/Australia/NSW1554/2021,hCoV-19/Australia/NSW1545/2021,hCoV-19/Australia/NSW1536/2021
Matthew Cotten et al	29	unknown	unknown	unknown	hCoV-19/Uganda/UG060/2020,hCoV-19/Uganda/UG150/2020,hCoV-19/Uganda/UG356/2020,hCoV-19/Uganda/UG358/2020,hCoV-19/Uganda/UG262/2020,hCoV-19/Uganda/UG401/2021,hCoV-19/Uganda/UG493/2021,hCoV-19/Uganda/UG637/2021,hCoV-19/Uganda/UG030/2020,hCoV-19/Uganda/UG489/2021,hCoV-19/Uganda/UG461/2021,hCoV-19/Uganda/UG462/2021,hCoV-19/Uganda/UG463/2021,hCoV-19/Uganda/UG497/2021,hCoV-19/Uganda/UG526/2021,hCoV-19/Uganda/UG527/2021,hCoV-19/Uganda/UG468/2021,hCoV-19/Uganda/UG467/2021,hCoV-19/Uganda/UG470/2021,hCoV-19/Uganda/UG536/2021,hCoV-19/Uganda/UG619/2021,hCoV-19/Uganda/UG621/2021,hCoV-19/Uganda/UG550/2021,hCoV-19/Uganda/UG617/2021,hCoV-19/Uganda/UG534/2021,hCoV-19/Uganda/UG622/2021,hCoV-19/Uganda/UG620/2021,hCoV-19/Uganda/UG485/2021,hCoV-19/Uganda/UG486/2021
Joseph Francis Wamala et al	10	unknown	unknown	unknown	hCoV-19/SouthSudan/UG578/2020,hCoV-19/SouthSudan/UG570/2021,hCoV-19/SouthSudan/UG580/2021,hCoV-19/SouthSudan/UG571/2021,hCoV-19/SouthSudan/UG573/2021,hCoV-19/SouthSudan/UG574/2021,hCoV-19/SouthSudan/UG412/2021,hCoV-19/SouthSudan/UG569/2021,hCoV-19/SouthSudan/UG579/2021,hCoV-19/SouthSudan/UG576/2021
Sokhoun Yann et al	1	unknown	unknown	unknown	hCoV-19/Cambodia/137932/2020
